,date,text
32,"<span class=""artDateTime"">11.08.2020</span>","<div class=""artDesc""> i weekenden til mangelsituationer og stærkt stigende priser. Regeringen arbejder ifølge siger sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S) for at lægge en dæmper på pris og mangelsituationer. - Det er rigtigt, at mundbindsmarkedet i Danmark har været præget </div>"
33,"<span class=""artDateTime"">11.08.2020</span>","<div class=""artDesc"">. Det oplyser Transportministeriet i en mail til Ritzau i forlængelse af et pressemøde mandag. Sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S) siger på pressemødet, at der ses en bekymrende smittespredning med coronavirus i flere kommuner. Blandt andet </div>"
34,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc"">,« siger han med opfordring til, at man kigger mod andre lande for at se, om en mere effektiv model kan udbredes herhjemme. Sundhedsminister <b>Magnus</b> <b>Heunicke</b> sagde på mandagens pressemøde, at det afhænger af danskernes evne til at følge </div>"
35,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc""> Danmark ned går vi ind med nålestiksoperationer, når smitten bryder ud,« sagde <b>Magnus</b> <b>Heunicke</b> og henviste helt konkret til Silkeborg, hvor smitten er for opadgående, og hvor regeringen nu kopierer kravet om mundbind i den kollektive trafik </div>"
36,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc""> til også at bruge mundbind i butikker. Det fortalte sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S) på et pressemøde mandag eftermiddag, hvor ministeren oplyste, at der fremover anbefales brug af mundbind i indkøbscentre, supermarkeder og større </div>"
37,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc""> afstand, så tag et mundbind på. Man bør altid have et mundbind med sig på sin rejse, siger transportministeren. Sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S) siger på pressemødet, at der ses en bekymrende smittespredning med coronavirus i flere kommuner </div>"
38,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc"">. Sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S) blev på mandagens pressemøde flere gange spurgt, om han vil udelukke, at Danmark lukker ned igen, som det skete i foråret. Her måtte mange blive hjemme fra skoler og arbejdspladser i en periode. Til det siger Heunicke </div>"
39,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc""> kunne sundhedsminister <b>Magnus</b> <b>Heunicke</b> nemlig proklamere, at mundbind ville blive et krav i den offentlige transport i Aarhus. Kravet gælder frem til den 1. september, så nu skal pendlere i Aarhus vænne sig til tanken om at bruge mundbind </div>"
40,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc"">»Der er grund til bekymring.« Sådan lyder meldingen fra sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> på et pressemøde mandag eftermiddag i forbindelse med det stigende antal danskere smittet med coronavirus. Alligevel er det ifølge </div>"
41,"<span class=""artDateTime"">10.08.2020</span>","<div class=""artDesc""> pressemøde vil sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S) ikke afvise, at det kan blive nødvendigt igen. - Vi er parate til at gøre det der skal til for at holde epidemien og virus under kontrol, siger han. - I dag har vi et meget mere </div>"
